Index           Word Count
    1              1     5
    2             10     1
    3           1787     1
    4              2     5
    5              3     4
    6              4     3
    7              5     1
    8              6     1
    9              7     1
   10              8     1
   11              9     1
   12              a    52
   13        ability     1
   14            abr     1
   15        absence     1
   16         absent     1
   17     absolutely     1
   18         accept     1
   19     acceptance     1
   20      according     4
   21    accordingly     1
   22        account     1
   23            act     3
   24           acts     2
   25         actual     2
   26       actually     1
   27         adding     1
   28       adhering     1
   29        adjourn     3
   30    adjournment     3
   31      admiralty     1
   32          admit     2
   33       admitted     1
   34       adoption     2
   35         advice     2
   36         affect     1
   37      affecting     2
   38         affirm     1
   39    affirmation     2
   40   affirmationi     1
   41          after     5
   42        against     8
   43            age     3
   44          agree     1
   45      agreement     1
   46            aid     1
   47      alexander     1
   48            all    33
   49       alliance     1
   50          alone     1
   51           also     1
   52          alter     1
   53    ambassadors     4
   54      amendment     1
   55     amendments     3
   56        america     4
   57          among     2
   58             an     7
   59            and   188
   60        another     6
   61            any    42
   62      appellate     1
   63    application     2
   64        appoint     3
   65      appointed     3
   66    appointment     2
   67   appointments     2
   68    apportioned     1
   69  appropriation     1
   70 appropriations     1
   71        approve     1
   72       approved     2
   73            are     1
   74        arising     1
   75         armies     1
   76         arming     1
   77           army     1
   78         arrest     1
   79       arsenals     1
   80        article     8
   81       articles     1
   82           arts     1
   83             as    30
   84    ascertained     1
   85       assemble     1
   86      assembled     1
   87             at    15
   88      attainder     3
   89       attained     3
   90      attainted     1
   91     attendance     2
   92         attest     1
   93      authority     6
   94    authorityto     1
   95     authorized     1
   96        authors     1
   97              b     1
   98        baldwin     1
   99         ballot     3
  100   bankruptcies     1
  101        bassett     1
  102             be   125
  103         become     3
  104        bedford     1
  105           been     8
  106         before     7
  107       behavior     2
  108          being     1
  109      belonging     1
  110           best     1
  111        between     5
  112           bill     7
  113          bills     3
  114          blair     1
  115      blessings     1
  116          blood     1
  117         blount     1
  118           born     1
  119         borrow     1
  120           both     7
  121          bound     4
  122         branch     1
  123         breach     1
  124       brearley     1
  125        bribery     1
  126          broom     1
  127   buildingsand     1
  128       business     1
  129            but    22
  130         butler     1
  131             by    47
  132           call     1
  133         called     1
  134        calling     1
  135         cannot     1
  136     capitation     1
  137       captures     1
  138           care     1
  139       carolina     4
  140        carroll     1
  141       carrying     1
  142           case     7
  143          cases    12
  144         census     1
  145   certificates     1
  146        certify     1
  147        cession     1
  148        charged     1
  149        charles     2
  150          chief     2
  151         choice     2
  152         choose     1
  153         chosen     6
  154          chuse     5
  155        chusing     3
  156        citizen     4
  157       citizens     7
  158          civil     2
  159          claim     1
  160       claiming     1
  161         claims     1
  162          class     3
  163        classes     1
  164        clauses     1
  165          clear     1
  166         clymer     1
  167           coin     5
  168        collect     1
  169        comfort     1
  170      commander     1
  171       commerce     2
  172     commission     1
  173    commissions     1
